,desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
0,448567202300904,http://www.animal.go.kr/files/shelter/2023/05/202306280906335_s.jpg,20230628,의창구 동읍 용잠리 408-11,[개] 믹스견,갈색,2020(년생),30(Kg),경남-창원1-2023-00309,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306280906335.jpg,종료(반환),F,Y,N-6-1-29 내장칩있어요~순딩순딩 꼬리흔들어주는아이.,창원유기동물보호소,055-225-5701,"경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 축산과",경상남도 창원시 의창성산구,창원시의창성산구,055-225-5701
1,448537202300719,http://www.animal.go.kr/files/shelter/2023/05/202306281306120_s.jpg,20230628,수월 엘리유리안 2차,[고양이] 한국 고양이,검정,2023(60일미만)(년생),1(Kg),경남-거제-2023-00443,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306120.jpg,보호중,Q,N,구더기심함,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,이용휘,055-639-6366
2,448534202300439,http://www.animal.go.kr/files/shelter/2023/05/20230628090688_s.jpg,20230628,사남면 유천마을인근,[개] 진도견,흰색,2016(년생),24(Kg),경남-사천-2023-00244,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/20230628090688.jpg,보호중,F,N,사람을 좋아하고 온순함. 심장사상충양성,사천시 동물보호센터,055-831-3768,경상남도 사천시 용현면 진삼로 902  사천시농업기술센터,경상남도 사천시,강환희,055-831-3768
3,448528202300896,http://www.animal.go.kr/files/shelter/2023/05/202306281106292_s.jpg,20230628,봉암수원지 입구 주변,[개] 믹스견,연갈색+흰색,2022(년생),20(Kg),경남-창원2-2023-00212,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106292.jpg,보호중,F,U,"목줄착용+ 쇠리드줄착용, 놀래서 경계심 좀 있음, 신고자가 키웠다고함",마산유기동물보호소,055-225-5701,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도 창원시 마산합포회원구,창원시마산합포회원구,055-225-5701
4,448528202300895,http://www.animal.go.kr/files/shelter/2023/05/20230628100672_s.jpg,20230628,양덕남 1길 45 주변,[개] 믹스견,검정,2021(년생),15(Kg),경남-창원2-2023-00211,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/20230628100672.jpg,종료(반환),F,U,"빨간목줄착용, 순함, 내장칩있음 이름: 베리",마산유기동물보호소,055-225-5701,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도 창원시 마산합포회원구,창원시마산합포회원구,055-225-5701
5,447513202300842,http://www.animal.go.kr/files/shelter/2023/05/202306280006355_s.jpg,20230628,남산 조곡리,[개] 믹스견,"흰색, 크림색",2023(60일미만)(년생),1.52(Kg),경북-경산-2023-00393,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306280006355.jpg,보호중,M,N,"생후50일령 추정, 우사 안으로 들어온 상황에서 구조 ",경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면) ,경상북도 경산시,김홍근,053-810-6744
6,447513202300841,http://www.animal.go.kr/files/shelter/2023/05/20230628000600_s.jpg,20230628,압량 신촌리,[개] 포메라니안,"흰색, 크림색",2022(년생),3.28(Kg),경북-경산-2023-00392,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/20230628000600.jpg,보호중,F,N,공장 인근에서 배회하여 구조,경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면) ,경상북도 경산시,김홍근,053-810-6744
7,447512202300428,http://www.animal.go.kr/files/shelter/2023/05/202306280906212_s.jpg,20230628,호계 지천,[개] 믹스견,흰색,2023(60일미만)(년생),3(Kg),경북-문경-2023-00213,20230628,20230731,http://www.animal.go.kr/files/shelter/2023/05/202306280906212.jpg,보호중,M,N,들개 강아지,종합축산,054-552-2233,경상북도 문경시 중앙로 170 (흥덕동) 종합축산,경상북도 문경시,문경시 유통축산과,054-550-6282
8,447508202300767,http://www.animal.go.kr/files/shelter/2023/05/202306281106250_s.jpg,20230628,옥관 문정자길 127,[개] 믹스견,흑 갈색,2019(년생),8.2(Kg),경북-구미-2023-00252,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106250.jpg,보호중,M,N,온순하고 잘따름,구미시 동물보호센터,054-471-5718,경상북도 구미시 해평면 낙동대로 2206  ,경상북도 구미시,백창훈,054-480-5844
9,447508202300766,http://www.animal.go.kr/files/shelter/2023/05/202306281106704[1]_s.jpg,20230628,봉곡로 91,[개] 시츄,흑 갈색,2018(년생),5(Kg),경북-구미-2023-00251,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281106704[1].jpg,종료(반환),F,U,온순하고 잘따름,구미시 동물보호센터,054-471-5718,경상북도 구미시 해평면 낙동대로 2206  ,경상북도 구미시,백창훈,054-480-5844
