,desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
0,448567202300904,http://www.animal.go.kr/files/shelter/2023/05/202306280906335_s.jpg,20230628,의창구 동읍 용잠리 408-11,[개] 믹스견,갈색,2020(년생),30(Kg),경남-창원1-2023-00309,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306280906335.jpg,종료(반환),F,Y,N-6-1-29 내장칩있어요~순딩순딩 꼬리흔들어주는아이.,창원유기동물보호소,055-225-5701,"경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 축산과",경상남도 창원시 의창성산구,창원시의창성산구,055-225-5701,
1,448547202300711,http://www.animal.go.kr/files/shelter/2023/05/202306281506994_s.jpg,20230628,거창읍 정장길 364-23,[개] 믹스견,검정/갈색,2021(년생),7(Kg),경남-거창-2023-00219,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281506994.jpg,보호중,M,N,경계있음,거창유기동물보호센터,055-945-6500,경상남도 거창군 남상면 수남로 1934-12  ,경상남도 거창군,거창군,055-940-8288,
2,448546202300278,http://www.animal.go.kr/files/shelter/2023/05/202306281706778_s[1].jpg,20230628,백전면,[개] 삽살개,"흰색, 회색",2020(년생),4(Kg),경남-함양-2023-00086,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706778.jpeg,보호중,F,N,"삽살개 종류, 약 3살정도, 약 4kg 정도, 온순함, 주인이 있는 것으로 추정",함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",경상남도 함양군,양병훈,055-960-8140,
3,448545202300150,http://www.animal.go.kr/files/shelter/2023/05/202306281506444_s.jpg,20230628,산청군 시천면 남명2길 주변,[개] 믹스견,갈색,2013(년생),3.2(Kg),경남-산청-2023-00077,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281506444.jpeg,보호중,M,N,구조시 목줄없음,산청동물보호센터,010-2050-8577,경상남도 산청군 산청읍 친환경로 2783-25 (산청읍) ,경상남도 산청군,백종수,055-970-7844,
4,448545202300149,http://www.animal.go.kr/files/shelter/2023/05/202306281506511_s.jpg,20230628,산청군 금서면 동의보감로555번길 29 주변,[개] 믹스견,검정,2022(년생),11.8(Kg),경남-산청-2023-00076,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281506511.jpeg,보호중,F,N,구조시 검정목줄 착용,산청동물보호센터,010-2050-8577,경상남도 산청군 산청읍 친환경로 2783-25 (산청읍) ,경상남도 산청군,백종수,055-970-7844,
5,448538202300379,http://www.animal.go.kr/files/shelter/2023/05/202306281706217[1]_s.jpg,20230628,삼호동654,[고양이] 한국 고양이,검정노랑흰색,2023(60일미만)(년생),0.9(Kg),경남-양산-2023-00203,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281706217[1].jpg,보호중,Q,U,검정노랑흰색,양산시 동물보호센터,055-392-5669,경상남도 양산시 동면 석산리 392 양산시농업기술센터,경상남도 양산시,양산시,055-392-5669,
6,448537202300724,http://www.animal.go.kr/files/shelter/2023/05/202306281606260_s.jpg,20230628,하청면주택가,[개] 믹스견,갈색,2023(60일미만)(년생),2(Kg),경남-거제-2023-00448,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281606260.jpg,보호중,M,N,어미 새끼4두 같이 입소함,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,이용휘,055-639-6366,
7,448537202300723,http://www.animal.go.kr/files/shelter/2023/05/202306281606520_s.jpg,20230628,하청면주택가,[개] 믹스견,갈색,2023(60일미만)(년생),2(Kg),경남-거제-2023-00447,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281606520.jpg,보호중,M,N,어미 새끼4두 같이 입소함,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,이용휘,055-639-6366,
8,448537202300722,http://www.animal.go.kr/files/shelter/2023/05/202306281606901_s.jpg,20230628,하청면주택가,[개] 믹스견,갈색,2023(60일미만)(년생),2(Kg),경남-거제-2023-00446,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281606901.jpg,보호중,M,N,어미 새끼4두 같이 입소함,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,이용휘,055-639-6366,
9,448537202300721,http://www.animal.go.kr/files/shelter/2023/05/202306281606183_s.jpg,20230628,하청면주택가,[개] 믹스견,갈색,2023(60일미만)(년생),2(Kg),경남-거제-2023-00445,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281606183.jpg,보호중,F,N,어미 새끼4두 같이 입소함,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,이용휘,055-639-6366,
10,448537202300720,http://www.animal.go.kr/files/shelter/2023/05/202306281606660_s.jpg,20230628,하청면주택가,[개] 믹스견,갈색,2019(년생),12(Kg),경남-거제-2023-00444,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281606660.jpg,보호중,F,N,새끼4두 같이 입소,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,이용휘,055-639-6366,
11,448537202300719,http://www.animal.go.kr/files/shelter/2023/05/202306281306120_s.jpg,20230628,수월 엘리유리안 2차,[고양이] 한국 고양이,검정,2023(60일미만)(년생),1(Kg),경남-거제-2023-00443,20230628,20230710,http://www.animal.go.kr/files/shelter/2023/05/202306281306120.jpg,보호중,Q,N,구더기심함,거제시유기동물보호소,055-639-6368,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",경상남도 거제시,이용휘,055-639-6366,
